iter	Passed	Remaining
0	49	49305
1	51	25565
2	52	17539
3	54	13493
4	55	11134
5	57	9496
6	58	8339
7	60	7463
8	61	6777
9	62	6231
10	64	5794
11	65	5427
12	67	5111
13	68	4841
14	70	4607
15	71	4394
16	72	4214
17	74	4065
18	75	3916
19	76	3772
20	77	3603
21	77	3451
22	77	3311
23	78	3183
24	78	3065
25	78	2956
26	79	2855
27	79	2761
28	79	2674
29	80	2592
30	80	2516
31	80	2444
32	81	2378
33	81	2315
34	81	2256
35	82	2201
36	82	2147
37	82	2097
38	83	2048
39	83	2003
40	83	1960
41	84	1918
42	84	1878
43	84	1840
44	85	1804
45	85	1770
46	85	1737
47	85	1705
48	86	1674
49	86	1645
50	86	1617
51	87	1590
52	87	1563
53	87	1538
54	88	1514
55	88	1490
56	88	1468
57	89	1446
58	89	1425
59	89	1405
60	90	1385
61	90	1366
62	90	1348
63	90	1330
64	91	1312
65	91	1296
66	91	1279
67	92	1261
68	92	1246
69	92	1231
70	92	1216
71	93	1203
72	93	1189
73	93	1176
74	94	1163
75	94	1150
76	94	1138
77	95	1126
78	95	1114
79	95	1102
80	96	1091
81	96	1080
82	96	1069
83	97	1058
84	97	1047
85	97	1037
86	97	1026
87	98	1016
88	98	1007
89	98	998
90	99	989
91	99	980
92	99	971
93	99	963
94	100	954
95	100	946
96	100	938
97	101	930
98	101	923
99	101	915
100	102	908
101	102	899
102	102	892
103	102	885
104	103	878
105	103	872
106	103	865
107	104	858
108	104	852
109	104	846
110	104	840
111	105	834
112	105	828
113	105	822
114	106	816
115	106	810
116	106	805
117	107	799
118	107	793
119	107	788
120	107	783
121	108	778
122	108	772
123	108	767
124	108	762
125	109	757
126	109	752
127	109	747
128	110	742
129	110	738
130	110	733
131	110	729
132	111	725
133	111	721
134	111	716
135	112	712
136	112	708
137	112	704
138	113	700
139	113	696
140	113	692
141	113	688
142	114	684
143	114	681
144	114	677
145	115	673
146	115	670
147	115	666
148	116	663
149	116	659
150	116	656
151	116	652
152	117	649
153	117	646
154	117	642
155	118	639
156	118	636
157	118	633
158	119	630
159	119	627
160	119	624
161	120	621
162	120	618
163	120	615
164	120	612
165	121	609
166	121	606
167	121	603
168	122	600
169	122	597
170	122	595
171	123	592
172	123	589
173	123	586
174	123	584
175	124	581
176	124	579
177	124	576
178	125	574
179	125	571
180	125	568
181	125	565
182	126	563
183	126	561
184	126	558
185	127	556
186	127	554
187	127	551
188	128	549
189	128	547
190	128	544
191	128	542
192	129	540
193	129	538
194	129	535
195	130	533
196	130	531
197	130	529
198	131	527
199	131	525
200	131	523
201	131	521
202	132	519
203	132	517
204	132	515
205	133	513
206	133	511
207	133	509
208	134	507
209	134	505
210	134	503
211	134	501
212	135	499
213	135	497
214	135	495
215	136	493
216	136	492
217	136	490
218	136	488
219	137	486
220	137	484
221	137	483
222	138	481
223	138	479
224	138	478
225	139	476
226	139	474
227	139	472
228	139	471
229	140	469
230	140	467
231	140	466
232	141	464
233	141	463
234	141	461
235	142	460
236	142	458
237	142	457
238	143	455
239	143	454
240	143	452
241	144	451
242	144	449
243	144	448
244	145	447
245	145	445
246	145	444
247	146	442
248	146	441
249	146	440
250	147	438
251	147	437
252	147	435
253	147	434
254	148	432
255	148	431
256	148	430
257	149	428
258	149	427
259	149	426
260	149	424
261	150	423
262	150	421
263	150	420
264	151	419
265	151	417
266	151	416
267	152	415
268	152	413
269	152	412
270	152	411
271	153	410
272	153	408
273	153	407
274	154	406
275	154	405
276	154	403
277	155	402
278	155	401
279	155	400
280	155	399
281	156	397
282	156	396
283	156	395
284	157	394
285	157	393
286	157	391
287	158	390
288	158	389
289	158	388
290	158	387
291	159	386
292	159	384
293	159	383
294	160	382
295	160	381
296	160	380
297	161	379
298	161	378
299	161	377
300	161	376
301	162	374
302	162	373
303	162	372
304	163	371
305	163	370
306	163	369
307	164	368
308	164	367
309	164	366
310	165	365
311	165	364
312	165	363
313	165	362
314	166	361
315	166	360
316	166	359
317	167	358
318	167	357
319	167	356
320	168	355
321	168	354
322	168	353
323	168	352
324	169	351
325	169	350
326	169	349
327	170	348
328	170	347
329	170	346
330	171	345
331	171	344
332	171	343
333	171	342
334	172	341
335	172	341
336	172	340
337	173	339
338	173	338
339	173	337
340	174	336
341	174	335
342	174	335
343	175	334
344	175	333
345	175	332
346	176	331
347	176	330
348	176	329
349	177	329
350	177	328
351	177	327
352	178	326
353	178	325
354	178	324
355	178	323
356	179	322
357	179	321
358	179	321
359	180	320
360	180	319
361	180	318
362	181	317
363	181	316
364	181	316
365	181	315
366	182	314
367	182	313
368	182	312
369	183	311
370	183	311
371	183	310
372	184	309
373	184	308
374	184	307
375	184	306
376	185	306
377	185	305
378	185	304
379	186	303
380	186	302
381	186	302
382	187	301
383	187	300
384	187	299
385	187	298
386	188	298
387	188	297
388	188	296
389	189	295
390	189	295
391	189	294
392	190	293
393	190	292
394	190	292
395	190	291
396	191	290
397	191	289
398	191	288
399	192	288
400	192	287
401	192	286
402	193	285
403	193	285
404	193	284
405	193	283
406	194	283
407	194	282
408	194	281
409	195	280
410	195	280
411	195	279
412	196	278
413	196	277
414	196	277
415	196	276
416	197	275
417	197	275
418	197	274
419	198	273
420	198	273
421	198	272
422	199	271
423	199	270
424	199	270
425	200	269
426	200	268
427	200	268
428	201	267
429	201	267
430	201	266
431	202	265
432	202	265
433	202	264
434	203	263
435	203	263
436	203	262
437	203	261
438	204	261
439	204	260
440	204	259
441	205	259
442	205	258
443	205	257
444	206	257
445	206	256
446	206	255
447	206	255
448	207	254
449	207	253
450	207	253
451	208	252
452	208	251
453	208	251
454	209	250
455	209	249
456	209	249
457	209	248
458	210	247
459	210	247
460	210	246
461	211	245
462	211	245
463	211	244
464	212	243
465	212	243
466	212	242
467	212	242
468	213	241
469	213	240
470	213	240
471	214	239
472	214	238
473	214	238
474	215	237
475	215	237
476	215	236
477	215	235
478	216	235
479	216	234
480	216	233
481	217	233
482	217	232
483	217	232
484	217	231
485	218	230
486	218	230
487	218	229
488	219	228
489	219	228
490	219	227
491	220	227
492	220	226
493	220	225
494	220	225
495	221	224
496	221	224
497	221	223
498	222	222
499	222	222
500	222	221
501	222	221
502	223	220
503	223	220
504	223	219
505	224	218
506	224	218
507	224	217
508	225	217
509	225	216
510	225	215
511	225	215
512	226	214
513	226	214
514	226	213
515	227	213
516	227	212
517	227	211
518	228	211
