iter	Passed	Remaining
0	49	49949
1	51	25924
2	55	18285
3	56	14093
4	58	11546
5	59	9860
6	60	8641
7	62	7737
8	64	7067
9	65	6513
10	67	6039
11	68	5646
12	69	5303
13	71	5012
14	73	4817
15	74	4591
16	76	4405
17	77	4228
18	78	4078
19	80	3947
20	82	3832
21	83	3720
22	85	3618
23	86	3525
24	88	3434
25	89	3348
26	91	3306
27	93	3233
28	94	3174
29	96	3114
30	98	3064
31	99	3015
32	101	2970
33	102	2924
34	104	2880
35	106	2840
36	107	2803
37	109	2767
38	110	2733
39	112	2700
40	113	2665
41	115	2630
42	116	2600
43	118	2569
44	119	2537
45	121	2519
46	123	2494
47	124	2469
48	126	2445
49	127	2421
50	128	2399
51	130	2372
52	131	2342
53	132	2313
54	133	2285
55	133	2257
56	134	2233
57	136	2221
58	137	2197
59	138	2170
60	139	2144
61	139	2117
62	140	2092
63	141	2066
64	142	2043
65	142	2020
66	143	1997
67	144	1975
68	144	1954
69	145	1933
70	146	1911
71	146	1889
72	147	1870
73	147	1847
74	147	1824
75	148	1802
76	148	1781
77	148	1760
78	149	1740
79	149	1720
80	149	1701
81	150	1682
82	150	1662
83	150	1644
84	151	1626
85	151	1610
86	151	1593
87	152	1580
88	152	1564
89	153	1549
90	153	1533
91	153	1518
92	154	1503
93	154	1489
94	154	1475
95	155	1461
96	155	1447
97	155	1434
98	156	1421
99	156	1408
100	156	1396
101	157	1384
102	157	1371
103	157	1359
104	158	1348
105	158	1336
106	158	1325
107	159	1314
108	159	1303
109	159	1292
110	160	1282
111	160	1271
112	160	1261
113	161	1251
114	161	1241
115	161	1232
116	161	1222
117	162	1213
118	162	1204
119	162	1195
120	163	1186
121	163	1176
122	163	1168
123	164	1160
124	164	1151
125	164	1143
126	165	1134
127	165	1127
128	165	1120
129	166	1112
130	166	1104
131	166	1097
132	167	1089
133	167	1082
134	167	1075
135	168	1073
136	169	1066
137	169	1059
138	169	1052
139	170	1045
140	170	1039
141	170	1031
142	171	1025
143	171	1018
144	171	1012
145	172	1006
146	172	999
147	173	996
148	173	990
149	173	984
150	174	978
151	174	972
152	174	967
153	175	961
154	175	955
155	175	950
156	175	944
157	176	939
158	176	933
159	176	928
160	177	922
161	177	917
162	177	912
163	177	907
164	178	902
165	178	897
166	178	892
167	179	887
168	179	882
169	179	878
170	180	873
171	180	869
172	180	865
173	181	860
174	181	856
175	181	851
176	182	847
177	182	843
178	182	839
179	183	834
180	183	830
181	183	826
182	184	822
183	184	818
184	184	814
185	185	810
186	185	806
187	185	802
188	186	798
189	186	794
190	186	790
191	186	786
192	187	783
193	187	779
194	187	775
195	188	772
196	188	768
197	188	765
198	189	761
199	189	757
200	189	754
201	190	751
202	190	747
203	190	744
204	191	740
205	191	737
206	191	734
207	191	731
208	192	727
209	192	724
210	192	721
211	193	718
212	193	715
213	193	712
214	194	709
215	194	706
216	194	703
217	195	700
218	195	697
219	195	694
220	196	691
221	196	688
222	196	685
223	197	683
224	197	680
225	197	677
226	198	674
227	198	672
228	198	669
229	199	666
230	199	663
231	199	661
232	200	658
233	200	655
234	200	653
235	201	650
236	201	648
237	201	645
238	201	643
239	202	640
240	202	637
241	202	635
242	203	632
243	203	630
244	203	628
245	204	625
246	204	623
247	204	620
248	205	618
249	205	616
250	205	613
251	205	611
252	206	609
253	206	606
254	206	604
255	207	602
256	207	600
257	207	598
258	208	595
259	208	593
260	208	591
261	209	589
262	209	587
263	209	585
264	210	583
265	210	581
266	210	579
267	211	577
268	211	574
269	211	572
270	212	570
271	212	568
272	212	566
273	213	564
274	213	562
275	213	560
276	214	558
277	214	556
278	214	554
279	215	552
280	215	550
281	215	549
282	216	547
283	216	545
284	216	543
285	216	541
286	217	539
287	217	538
288	217	536
289	218	534
290	218	532
291	218	530
292	219	528
293	219	526
294	219	525
295	220	523
296	220	521
297	220	519
298	220	518
299	221	516
300	221	514
301	221	512
302	222	511
303	222	509
304	222	507
305	223	506
306	223	504
307	223	502
308	224	501
309	224	499
310	224	497
311	225	496
312	225	494
313	225	493
314	226	491
315	226	489
316	226	488
317	227	486
318	227	485
319	227	483
320	227	482
321	228	480
322	228	479
323	228	477
324	229	476
325	229	474
326	229	473
327	230	471
328	230	470
329	230	468
330	231	467
331	231	465
332	231	464
333	232	462
334	232	461
335	232	459
336	233	458
337	233	457
338	233	455
339	233	454
340	234	452
341	234	451
342	234	449
343	235	448
344	235	447
345	235	445
346	236	444
347	236	443
348	236	441
349	237	440
350	237	439
351	237	437
352	238	436
353	238	435
354	238	433
355	239	432
356	239	431
357	239	429
358	240	428
359	240	427
360	240	426
361	241	425
362	241	423
363	242	422
364	242	421
365	242	420
366	243	419
367	243	418
368	243	416
369	244	415
370	244	414
371	244	413
372	245	412
373	245	411
374	245	409
375	246	408
376	246	407
377	246	406
378	247	405
379	247	404
380	247	402
381	248	401
382	248	400
383	249	399
384	249	398
385	249	397
386	250	396
387	250	394
388	250	393
389	251	392
390	251	391
391	251	390
392	252	389
393	252	388
394	252	387
395	253	386
396	253	385
397	253	384
398	254	382
399	254	381
400	254	380
401	255	379
402	255	378
403	255	377
404	256	376
405	256	375
406	256	374
407	257	373
408	257	371
409	257	370
410	258	369
411	258	368
412	258	367
413	258	366
414	259	365
415	259	364
416	259	363
417	260	362
418	260	361
419	260	360
420	261	359
421	261	357
422	261	356
423	262	355
424	262	354
425	262	353
426	262	352
427	263	351
428	263	350
429	263	349
430	264	348
431	264	347
432	264	346
433	265	345
434	265	344
435	265	343
436	265	342
437	266	341
438	266	340
439	266	339
440	267	338
441	267	337
442	268	337
443	268	336
444	269	335
445	269	334
446	269	333
447	270	332
448	270	331
449	270	330
450	271	329
451	271	329
452	271	328
453	272	327
454	272	326
455	272	325
456	272	324
457	273	323
458	273	322
459	273	321
460	274	320
461	274	319
462	274	318
463	275	317
464	275	316
465	275	316
466	276	315
467	276	314
468	276	313
469	276	312
470	277	311
471	277	310
472	277	309
473	278	308
474	278	307
475	278	306
476	279	305
477	279	305
478	279	304
479	280	303
480	280	302
481	280	301
482	280	300
483	281	299
484	281	298
485	281	298
486	282	297
487	282	296
488	282	295
489	283	294
490	283	293
491	283	292
492	284	292
493	284	291
494	284	290
495	285	289
496	285	288
497	285	288
498	286	287
499	286	286
500	286	285
501	287	284
502	287	283
503	287	283
504	287	282
505	288	281
506	288	280
507	288	279
508	289	278
509	289	278
510	289	277
511	290	276
512	290	275
513	290	274
514	291	274
515	291	273
516	291	272
517	291	271
518	292	270
519	292	270
520	292	269
521	293	268
522	293	267
523	293	266
524	294	266
525	294	265
526	294	264
527	294	263
528	295	262
529	295	262
530	295	261
531	296	260
532	296	259
533	296	258
534	297	258
535	297	257
536	297	256
537	298	256
538	298	255
539	298	254
540	299	253
541	299	253
542	299	252
543	300	251
544	300	250
545	300	250
546	301	249
547	301	248
548	301	247
549	302	247
550	302	246
551	302	245
552	302	244
553	303	244
554	303	243
555	303	242
556	304	241
557	304	241
558	304	240
559	305	239
560	305	238
561	305	238
562	306	237
563	306	236
564	306	236
565	306	235
566	307	234
567	307	233
568	307	233
569	308	232
570	308	231
571	308	231
572	309	230
573	309	229
574	309	228
575	309	228
576	310	227
577	310	226
578	310	226
579	311	225
580	311	224
581	311	223
582	312	223
583	312	222
584	312	221
585	313	221
586	313	220
587	313	219
588	314	219
589	314	218
590	314	217
591	315	217
592	315	216
593	315	215
594	316	215
595	316	214
596	316	213
597	316	213
598	317	212
599	317	211
600	317	211
601	318	210
602	318	209
